     Site   Width  Length
 1      D   6.0    9.0
 2      D   6.5    8.0
 3      D   6.5    9.0
 4      D   7.0    9.0
 5      D   7.0   10.0
 6      D   7.0   11.0
 7      D   8.0    9.5
 8      D   8.0   10.0
 9      D   8.0   10.0
10      D   8.0   11.0
11      D   9.0   11.0
12      D  10.0   13.0
13      D  11.0   13.0
14      D  11.0   14.0
15      D  11.0   14.0
16      D  12.0   13.0
17      D  13.0   14.0
18      D  14.0   16.0
19      D  15.0   16.0
20      D  15.0   16.0
21      D  15.0   19.0
22      D  16.0   16.0
23      S  12.0   14.0
24      S  13.0   17.0
25      S  14.0   16.5
26      S  14.0   19.0
27      S  15.0   16.0
28      S  15.0   17.0
29      S  15.0   18.0
30      S  15.0   18.0
31      S  15.0   19.0
32      S  15.0   21.0
33      S  16.0   18.0
34      S  16.0   19.0
35      S  16.0   20.0
36      S  16.0   20.0
37      S  16.0   21.0
38      S  16.5   19.0
39      S  17.0   20.0
40      S  18.0   19.0
41      S  18.0   19.0
42      S  18.0   20.0
43      S  19.0   20.0
44      S  19.0   22.0
45      S  20.0   22.0
46      S  21.0   21.0
